date freq power mode idcall country long latitude distance
2014-11-29 00:30:41      21036.0 15    CW   NP2L           KP2    17.73000  -64.80000  1917
2014-11-29 00:31:06      21036.0 15    CW   K0UK           K      41.08000  -96.40000  5891
2014-11-29 00:31:35      21036.0 15    CW   JF1IXE         JA     35.68000  139.67999 15292
2014-11-29 00:31:53      21036.0 15    CW   K7EG           K      41.28000 -116.58000  7461
2014-11-29 00:32:07      21036.0 15    CW   W6UM           K      35.47000 -119.33000  7564
2014-11-29 00:32:27      21036.0 15    CW   JH1CCN         JA     35.68000  139.67999 15292
2014-11-29 00:33:07      21036.0 15    CW   WA6FGV         K      35.47000 -119.33000  7564
2014-11-29 00:33:24      21036.0 15    CW   JA1USO         JA     35.68000  139.67999 15292
2014-11-29 00:34:03      21036.0 15    CW   NW6V           K      35.47000 -119.33000  7564
2014-11-29 00:34:38      21036.0 15    CW   BD8NBG         BY     26.53000  106.67000 15849
2014-11-29 00:35:12      21036.0 15    CW   JA5JGV         JA     33.57000  133.53000 15657
2014-11-29 00:35:44      21036.0 15    CW   NX1T           K      42.38000  -71.67000  4540
2014-11-29 00:36:01      21036.0 15    CW   K5ZG           K      31.92000  -96.23000  5410
2014-11-29 00:36:14      21036.0 15    CW   W2YR           K      41.17000  -74.57000  4554
2014-11-29 00:36:30      21036.0 15    CW   JR3TOE         JA     35.02000  135.77000 15458
2014-11-29 00:36:42      21036.0 15    CW   NG2O           K      41.17000  -74.57000  4554
2014-11-29 00:36:51      21036.0 15    CW   N8TR           K      41.35000  -83.22000  5034
2014-11-29 00:36:59      21036.0 15    CW   K3OO           K      39.98000  -76.88000  4564
2014-11-29 00:37:25      21036.0 15    CW   CN8KD          CN     32.00000   -5.00000  5778
2014-11-29 00:37:57      21036.0 15    CW   JA1KGV         JA     35.68000  139.67999 15292
2014-11-29 00:38:28      21036.0 15    CW   JA0IAB         JA     36.65000  138.17999 15228
2014-11-29 00:38:49      21036.0 15    CW   N2NS           K      35.47000 -119.33000  7564
2014-11-29 00:39:05      21036.0 15    CW   HK1NA          HK     10.40000  -75.50000  2576
2014-11-29 00:39:32      21036.0 15    CW   JE2KUC         JA     35.18000  136.89999 15416
2014-11-29 00:39:55      21036.0 15    CW   VE3BZ          VE     43.80000  -79.25000  5018
2014-11-29 00:40:09      21036.0 15    CW   VE3EJ          VE     43.80000  -79.25000  5018
2014-11-29 00:40:23      21036.0 15    CW   KG3V           K      39.98000  -76.88000  4564
2014-11-29 00:40:40      21036.0 15    CW   N5EA           K      31.92000  -96.23000  5410
2014-11-29 00:41:03      21036.0 15    CW   N0HJZ          K      41.08000  -96.40000  5891
2014-11-29 00:41:23      21036.0 15    CW   JA4LXY         JA     33.57000  133.53000 15657
2014-11-29 00:41:41      21036.0 15    CW   JF2UPM         JA     35.18000  136.89999 15416
2014-11-29 00:42:14      21036.0 15    CW   JH1NHY         JA     35.68000  139.67999 15292
2014-11-29 00:42:33      21036.0 15    CW   N6IC           K      35.47000 -119.33000  7564
2014-11-29 00:42:57      21036.0 15    CW   BG2AUE         BY     45.80000  126.67000 14346
2014-11-29 00:43:14      21036.0 15    CW   JA1ADU         JA     35.68000  139.67999 15292
2014-11-29 00:43:27      21036.0 15    CW   JA1IRH         JA     35.68000  139.67999 15292
2014-11-29 00:43:41      21036.0 15    CW   N2TU           K      41.17000  -74.57000  4554
2014-11-29 00:43:51      21036.0 15    CW   N4VA           K      33.18000  -82.23000  4361
2014-11-29 00:44:23      21036.0 15    CW   JE1SYN         JA     35.68000  139.67999 15292
2014-11-29 00:44:39      21036.0 15    CW   K3MD           K      39.98000  -76.88000  4564
2014-11-29 00:44:55      21036.0 15    CW   W2TA           K      41.17000  -74.57000  4554
2014-11-29 00:45:18      21036.0 15    CW   BY4AE          BY     31.25000  121.43000 15917
2014-11-29 00:46:05      21036.0 15    CW   JA1UII         JA     35.68000  139.67999 15292
2014-11-29 00:46:23      21036.0 15    CW   JG3FEA         JA     35.02000  135.77000 15458
2014-11-29 00:46:43      21036.0 15    CW   W6OAT          K      35.47000 -119.33000  7564
